,Comments
6137,I don&#39;t agree with professor Cowling&#39;s last remark regarding the zero COVID policy: &quot;fewer and fewer obvious benefits as time goes on&quot;. The obvious benefit is keeping potentially more dangerous variants out of the country not to mention preventing mutations altogether. This is especially beneficial as time goes on. As for the costs: The COVID-crisis costs are high regardless of the approach taken.
6138,"The host tried so hard to get the local journalist to criticise China, but failed so miserably."
6139,The anchor was putting forth very difficult questions hoping the respondents would give a negative answer about China and its zero lockdown policy. I guess he must be very disappointed.
6140,"Life has gone on as normal - no masks, normal gatherings, parties, no vaccination passes - for the past 2 years. Global inflation would be multiples of current levels of China tried to &quot;live with covid&quot; as manufacturing supply chains get severely disrupted."
6141,"The fact that even DW, a normally anti-China channel had to admit majority of the population supports the zero tolerance policy means it is working and indeed most China is spared from any form restrictions other than a wearing masks and taking vaccines."
6142,"Have we heard of Chinese starve to death because of the lockdown? I don&#39;t think so. Of course there is discomfort with the lockdown. And remember there is bigger disasters with not-locking-down. At least the Chinese government is working diligently on this. Wouldn&#39;t be easier for the government to NOT adopt the zero covid policy,  like the US? I think the Chinese government is  working hard and taking its responsibility."
6143,Basically unbiased report. I personally thank the reporter for his work.
6144,In my family and my sister’s family no one ever got infected since virus being but when Omicron come here and by now seven of us are getting Omicron but just a little sick for the young and not in a coma for the old or who have diabetes.China handles virus best and better than my country.
6145,"Simple, very strict SOP, effective social distancing rule, no unnecessary gathering, cases will go down ! Please, learn from the best !"
6146,"DW, that’s one challenge China is able to cope where Germany and Murica have failed so miserably……"
6147,I just feel sorry for the poor chaps that were &quot;evacuated&quot; on emergency flights from Wuhan in early 2020 to sit-out the pandemic in places like the UK and US!
6148,"For a country such as China, what would allowing COVID spreading in a community and living with it look like. That will be millions of people at least living with some form of covid. A new variant will inevitably jump up there. I think the China measures are harsh yes, food delivery and shortages, but they need to get the vaccines up again. Hopefully better coverage than the one they get."
6149,The world has become a small place with modern transportation that the pandemic can be spread within day across boundaries. China is protecting its own population and helping the people fight against the highly transmissible Omicron variant. That is the responsibility and commitment of a government to its people. China will do everything to make sure their citizens are safe and sound.  It is up to all countries to protect themselves and whatever strategy to combat the pandemic.
6150,"China is not the only country that pursues zero covid strategy, so is New Zealand."
6151,"Here&#39;s a quote for you, Fighting covid is like holding your breath....."
6152,"So far, so good... but I think the tables will turn when the Omicron variant takes hold.  Once seeded it will spread through 1.4 billion people quite quickly (especially in large cities) unless they close borders and lockdown forever.  I wish them luck with that strategy."
6153,So is New Zealand. We are nearly down to getting zero cases  Only 14 cases reported  today
6154,"It&#39;s hard to fail when you only report wins, not losses"
6155,"Advice from Australia: When the time comes to let go of covid zero, exit more slowly than anyone would think necessary. Exit too quickly and it will feel like you’re living in consecutive but unacknowledged lockdowns."
6156,Feels weird knowing more info about the story covered (Twitter witnesses) and the news mentions just bits a few days AFTER it happened
6157,"Right in the beginning, he immediatly forgot to say &quot;statistically&quot;. Well i mean the rural regions dont seem to count in any way."
6158,I wish this commitment was done at the beginning of the outbreak. We wouldn&#39;t be here in this unending mess.
6159,I like seriously trying to say that China should just leave with COVID-19 when their strategies have saved  hundreds of thousands of lives
6160,It’s rare to see unbiased and neutral reports about China.
6161,Western Australia (WA) state in Australia is stil have zero COVID policy
6162,11 minutes for the daily message that could be delivered in two words.
6163,"<b>Probably</b> the only country? Yes there is always the possibility that some unknown country in, say, Africa is doing the same without letting the world know."
6164,Lockdown in China is short and limited. Other provinces continue to work.
6165,Applause for the journalist in Beijing!
6166,“I want freedom to be the present and future of life for all (all human rights) and life platform culture.”
6167,"China has done an amazing job, sure they got some issues and western media loves focusing on that but overall the results are impressive if you can appreciate the scale and size of China"
6168,"Efficiency and efficacy once again exemplified….. This virus can be contained, and China just showed you how…… The sad thing is that the US and EU can’t even be a copycat….."
6169,I watch all of Banarjee&#39;s China report.<br><br>He is so bad at reporting and propoganda that its entertaining.<br>Good job DW 🤣
6170,Its funny how hard the anchor is trying to elicit a negative comment on Chinese policies from the professor. He must be disappointed.
6171,"It&#39;s still only one percentage of the Chinese population. For 99%, daily life is like in 2019. This has made China now the biggest economy in the world.<br><br>China is twice bigger than Europe. They are not giving up very much with travel restrictions."
6172,Concern about​ new variant​ in India more this.
6173,Taiwan&#39;s zero COVID-19 policy is still going strong too. If the rest of the world had been on board in the beginning then COVID-19 would be a thing of the past.
6174,"At least they can get a test. Unlike in Australia, you cannot get a test and if you lucky, you have to pay upto $30 aud for a test."
6175,Easy when you don&#39;t report cases or deaths...
6176,"China has lower vaccine efficacy, lower acquired immunity from prior infections, lower vaccination rate among the elderly, weak health care system outside of big cities, so zero-covid policy as it can still last, in the dead of this winter, is still a sensible choice. Living in hong kong, i wish i could visit my family sooner, but I understand the current strict quarantine requirement that keeps me out can statistically better protect my grandparents who are too ill to get vaccinated."
6177,"Let’s play the DaVinci Code game, China could have invented a new variant of Covid and testing it in their own cities, if the control are successful, then in the near future there would a new variant showing in UK, CANADA, AUS and USA, or either one of the western nations."
6178,I don&#39;t know what kind of rocket science china is using in thier traveling policy as she allowed business visa and work visa to travel but why not students allowed?
6179,If they would have locked down travel in and out of their country this enthusiastically at  the very beginning we would be fine now.
6180,The pregnant lady that was refused entry to a hospital did have a certificate all be it 3 hours out of date
6181,"I believe you misunderstood sir, China is no longer going to admit they have covered"
6182,If COVID came from them and they are implementing a zero COVID policy…
6183,对啊，清零政策，无疫情区跟疫情前生活差不多，羡慕不啦
6184,"This brings back memories.  Back in 1987, I was on business in China for a month.  The scary thing that I witnessed was a truck that was given full rights to stop any other traffic that might be in its way.  The rear section of the truck was packed with criminals who were strapped with ropes to the side panels of the truck bed, each looking outward.   All criminals were bald due to their hair having been shaved off. This whole setting was of course to put them on public display, for humiliation purposes."
6185,It has worked in Western Australia
6186,Like having zero aids virus? Zero flu virus? Give me a break!!
6187,The host&#39;s anti-China bias is slipping through. They should fire him so he can apply for a job in wion.
6188,They know something about COVID that the world doesn&#39;t know.
6189,I have not seen my family for 3 years because Chinese borders are closed.  Miss them alot.
6190,"Is this what we want in Europe, Canada, Australia and the US?"
6191,"During the pandemic, public rights is placed above an individual freedom. Zero tolerance to the hazard is a must to get people discipline themselves into social responsibility. It might not the best approach and still far more effective than those lips servicers.<br><br>At least DW admitted that China approach is the only country which no other dare to try."
6192,China influx of tourist is the only things keeping the world economy going. Not until this restriction is lifted will the world prosperity be the same
6193,"??? This is utter BS. I know for a fact that there are cases of COVID in Zhejiang and Hubei Province, for a fact."
6194,Só cute when he couldn’t pronounce the word
6195,"Hello, thank you for your balanced report. However, I have to point out that Taiwan is not a country."
6196,"Jabs are not stopping the transmission or the spread, Omicron is milder than Flu so end restrictions and treat as Endemic, anything else means it is all about keeping the new controls.."
6197,"What&#39;s really not justice and students are stuck from March 2020 and no hope in coming future so it&#39;s mean students career are darken,Chinese only support business from they can earn more and no justice for ordinary people"
6198,Journalist in studio fails misérably to try to make the journalist in China to criticize the policy in China. The local journalist insists to say that life is normal for the majority of people in China.
6199,"It happened in Tokyo Japan last year during Tokyo Olympic as well. A 33 years old pregnant 7 months Japanese woman with Covid wanted to go hospital, but all hospitals in the region refused. End up she have to give birth the baby at home and the baby die. Similar case also happened in Chiba as well."
6200,I&#39;m gonna bet that Omicron beats the CCP Zero Covid policy.<br>Any takers?
6201,"Omicron challenges the world, India included."
6202,Let’s do a thought experiment - what will China be like if they don’t impose strict Covid rules? I’d look at India for that answer. Both countries share a lot of similarities
6203,"They don&#39;t need to rush to buy toilet paper, they don&#39;t need to unplug the ventilator of the elderly, because steadfast living is also an art"
6204,Они просто отключили его на своей территории
6205,They invented it. They can mend it.
6206,"Good luck to ALL of the world in having ZERO Covid &amp; Varients cases!!!!  Everybody, Pray, Pray, and Pray again. Also, Please get vaccines ( if you&#39;re able to) and MASK UP!!!  🙏❤🚀   STAY HEALTHY!!!"
6207,Awesome accent! Very Indian! Very German.
6208,"I heard so many people talking about boycott products made in china. it is your opportunity now!  As a chinese, I wish government stay with zero covid policy, we do not need to use chinese labors exchange with US FEDS printing money.  I wish all Asian countries work less and let US inflation as high as possible. teach them a lesson about printing money!!"
6209,"&quot;Cero covid-19 policie&quot;, let&#39;s save lives!!! Let&#39;s protect our family!!!!! We want to be Omicron free!!!!"
6210,"blockade? It&#39;s almost Chinese New Year, just increase testing"
6211,Does anyone care about the Olympics? As an athlete I would not go
6212,The lockdown of some cities allow people in most Chinese to have a normal life. That is the rational of China&#39;s strategy.
6213,"Just to clarify, there were not &quot;several&quot; heart cases with the patient dying.  There was only ONE and that caused millions with anger and the government will need to fix this problem immediately.  Let&#39;s provide accurate news."
6214,With a few hours of video games per week and no option to go outside... what are kids in China doing?
6215,Tbh ……. And even if they „fail“ we in the west failed already in the beginning and never got it under control as they did. <br><br>If China has to adapt and change its policy because omicron is just not controllable then they do it.  But they didn’t fail for many month and due to that they safe many life’s. <br><br>I don’t like the Chinese government as well and they fail on many aspects. But what we can say is that they managed this way better than we did in the west.
6216,That&#39;s good considering they ended up giving to the rest of the world last time.
6217,"For effing sake, DW! Why not speak about how they learnt the lesson from Xian and improved upon the situation? A good example soon after the bad one in Xian was in Shenzhen. You bring up one bad case while you forget all the 100s of bad cases in several other countries. The news anchor just seems to focusing on negative only and keeps feeding words into the mouths of the reporter on the ground and other interviewees. Come on! Grow up!"
6218,👍👍🏴󠁧󠁢󠁳󠁣󠁴󠁿
6219,The question is: does current western countries success in fighting omicron?
6220,"Chinese new year is January 31, wondering how the CCP restrictions are"
6221,China to reopen 2050 😂😂😂
6222,"in capitalism majority suffer for minority, in socialism minority suffer for majority"
6223,"It is really an interesting strategy. That said, the question is if we humans can overcome pandemics with vaccines only without actual contagion? In the worst scenario, China may face endless fights with Covid 19 even when other countries are overcome it. Because China has to stop the zero Covid policy sometime, it may be the beginning of a new pandemic for more than one billion uninfected people.  I hope I am wrong."
6224,"Not possible, anywhere again, ever."
6225,"&quot;But, at what Cost&quot;."
6226,They have the worst policy while we have the best: we have the best number!
6227,The GDP figure already told the world which Covid policy is better !
6228,"Strictly blocked?Please, don&#39;t talk nonsense"
6229,"Omicron is airborne, you lose China"
6230,"While other countries may seem to be suffering now, will achieve herd immunity while china will suffer while maintaining Zero covid strategy"
6231,Rolf explained the situation in a &#39;neutral&#39; way. Thank you Rolf!
6232,"I had it and finished quarantine last Saturday. I am fully vaccinated. It’s my second time catching Covid. The first time was worse and I expect that the vaccine did the work. I had a headache for two days and a fever for a day, shivers for 3 days, muscle pain like the one you have when you have a flu, sore troat, back pain. It didn’t feel too bad. Unfortunately I am asthmatic and it made my asthma worse. It will last for a couple of weeks at least if it’s the same as the first time."
6233,I applaud the man (Rolf) being interviewed for providing that final answer in the way that he did.
6234,"I’m pretty sure that I got it several days ago. Had 2 vaccines. Felt like a cold with fever, and head felt weird for couple of days. By now feel like healed. Smell dissapeared for a second, now is restoring."
6235,"My entire family had delta variant last autumn, only 2-3 months ago. I suffered a lot. And now no one of us got omicron in this huge wave in Europe."
6236,"Dear DW, please invite Dr. Campbell again. He&#39;ll give much more up to date news."
6237,"80.000 new daily infections.  Could we please know how many people are quite ill, how many are in hospital because of Covid, ill, how many have mild symptoms and how many are asymptomatic. Thank you."
6238,"For anyone who closely follows the situation in the UK, the US and South Africa, this prediction is OLD news. Researchers were saying this weeks ago and it is a positive development. Yet it’s treatment here seems meant to sensationalize."
6239,"Funny. Many doctors were saying this about Omnicon over 5 weeks ago. Two years into the pandemic and the WHO is still over a month behind. Anyone in Europe probably already know plenty  of people who have had it, and who are vaccinated."
6240,Hopefully it will be the end of pandemic …
6241,I hope safety for all ...&amp; successful treatments for all
6242,"&quot;... Strategy to tackle the pandemic.&quot;<br><br>Alright, it is time to quit pretending you are doing anything to stop anything."
6243,I’ve just gotten over the Omni virus.  It’s not that serious !
6244,"Well, not sure why is he focusing on the posibility of developing a new variant that is fast in spreading and highly pathogenic, since that is not what we would expect from the nature of virus evolving behaviors."
6245,Omicron is not like the flu season. It&#39;s like a base of what is to come.
6246,Where can I get the information where they break the stats for vaccinated and unvaccinated infections and deaths?
6247,"On wednesday night they sent out a wave of virus ....it got me and my sister and other friends ...i felt my body was invaded by some electric itchy feeling so i got my eagle and my lion out....but when i wen to bed i woke up in the middle of the night with my body extremelly overheated next day i felt like dying but didnt give up kept pushing thru with my awareness and now im fine again..<br><br>Ladies and gentleman this is a phsycological war agains your mind....the mind controler are sending those waves just like they can send signals for your phone, wifi ,etc.<br>I think its time to chase those bandits behind the government and those in power and make em confess all their sins and atrosities against humanity<br>So we can give em proper punishment for their actions. Its so obviious"
6248,"As pointed out already the eventual &#39;fall-out&#39; of Omicron will affect the vast majority of Europeans and this fact has been a regular feature of UK tv YouTube experts, Dr John Campbell being one such notable presenter. It may be the wonders of modern communications have by-passed the WHO, why not, everything else seems to be doing so!"
6249,This is happening all over the World 🌎  not surprised...
6250,Good news. Im okay with whatever variant but not with digital surveillance and mandates
6251,Only half? In six to eight weeks? The Omicron wave will be well over by then.
6252,"Why are long-haul flights the most vulnerable to contracting covid-19?<br>1. The plane is a confined space, and the indoor environment contains water in virus saliva, which naturally evaporates slowly, resulting in stronger infectious power<br>2. The plane flies at high altitude for a long time, the temperature in the high altitude is particularly low, and the indoor environment contains water in the saliva of the virus, and the natural evaporation rate slows down, resulting in stronger infectivity<br>3. The principle of hot air rising, the droplets spit out in speech are 37 degrees c, and the high air temperature is particularly low, the higher the droplet rise, the stronger the infectious power<br>Therefore, the use of a constant temperature system in the aircraft to increase the indoor temperature can prevent the 37-degree c droplets from floating up and reduce the infectious power<br>Therefore, the use of a dehumidifier in the aircraft can quickly dry the saliva and droplets in the indoor environment and reduce the infectivity."
6253,Oh my 💔
6254,Saying half of the population is like saying all of the population or nearly all of the population.
6255,How many test did they do compared to last year?
6256,Just stop testing if you only have a sneeze or a sore trought.. it’s winter.. 🙏
6257,"There isn’t even one isolated sample of this &#39;phantom virus, so what are you talking about?"
6258,"Oh no I don’t want mild cold symptoms, give me another booster!"
6259,"Got the Delta last yr even tho I was vaxxed. Im still young but the symptoms were moderate, only the cough was severe since I have asthma. I highly recommend the vax esp for the elderly, those with comorbidities, immunocompromised and healthworkers. But no pressure, if they dont want it fine. They are the ones who will suffer in hospital and bills anyway. Just dont get it why the govt is too pushy. These are adults for F sake, let them decide for them and suffer the consequences if needed. Anyway, its already proven that whether vaxxed or not, you will still get the virus. Vaxxed can have the advantage tho esp if you are old or with existing diseases"
6260,What has the rapid spread got to do with the unvaccinated? The problem is the government using only vaccine to solve the pandemic. Since when has the infection been reducing since vaccination starts?
6261,I predict it will be around 70%
6262,Why is nobody talking about<br> Omicron&#39;s death rate?<br>Can anyone tell me what is the Omicron&#39; death rate?
6263,I find people who wear masks in the supermarkets are better mannered in general😎<br>Gaz UK
6264,May God Bless Omicron 😂
6265,Is there any valid scientific indication that vaccination helps at all?
6266,So is the Chancellor also saying the cold and flu are dangerous because they spread quickly when in high season? People I know with COVID (vaccinated and unvaccinated) said that the flu was much worse that COVID.
6267,I got Covid-19 in the beginning of the pandemic and I had mild symptoms and second time I got the omicron variant and I didn’t have any symptoms except runny nose! Natural immunity just worked
6268,"Okay, I just saw the video about China and zero case policy and here is a video about omicron wave in Europe. So the wave is spiking daily cases. If half of Europe get COVID omicron and hospitals overwhelmed. Then what? People aren&#39;t dying that&#39;s good. So this new policy isn&#39;t better than the zero policy in China. At least you Europeans get better vaccine"
6269,When we can afford all thr luxuries possible before paying for essential services. Let&#39;s all realize social services have been under attack for decades. Late capitalism and consumerism is eating our lunch.
6270,"I am indeed grateful to the Managing Director of the IMF Mrs. kristalina Georgieva,for the $150,000 Grant they gave to me and my family.May God continue to bless the IMF and World Bank,As they Empower Citizens of countries Affected by the Covid_19 pandemic,through their SME Loan and Grant Initiative"
6271,2022 starts with a bang!! Humanity reaping what it sowed
6272,Time to close schools and move university tests fully online.
6273,I hope hundred percent coverage
6274,"Please pass an indemnity law with Vaccination, then many people would get vaccinated."
6275,NO ONE IS DOSED against the new virant omicron!!! Doesn&#39;t matter if you have three or four jabs. It has NOTHING to do with people who are not dosed.
6276,Most people will get Omicron because there is literally NO BOOSTER available for it...if you are getting boosters they are alpha and delta...so it makes sense why it&#39;s ripping through the world...there is no specific protection for it.
6277,Best strategy in the world!
6278,Does anybody still listen to what WHO says???
6279,"already got, just recovering"
6280,I follow Dr peppers advice! Crack a cold one and chill.
6281,&quot;For the sake of His sorrowful Passion have mercy on us and on the whole world.&quot;
6282,"hello everyone, <br>can anyone tell me what will be next if all global population is vaccinated?<br>I&#39;m just curious what the big pharmaceutical companies have prepared for us ."
6283,So that travel ban imposed by the EU on Southern African countries has not worked!! Meanwhile it has caused financial harm on the tourism industry during the summer/ tourism season...
6284,&quot;A lie told often enough becomes the truth.&quot; - Vladimir Lenin
6285,"This news is very different than news in other countries, such as England, where we think it&#39;s all over now. Medical chiefs are saying that people should just get out there and get omicron as it&#39;s as good as a booster for the vaccinated, and a vaccine for the un-vaccinated. Who is actually right?"
6286,and you still biasing china.hahahahahahahahaha
6287,"Wath is successful vaccination? A large number or people vaccinated. Successful for me and for other millions that where vaccinated to regain freedom, means  imunyty that was promised at the beginning. So we are far from successful now. Applause Spain"
6288,Questions to all experts and scientests in the whole world&quot; what is the purpose of vaccines where the efficacy of vaccines why most of our people are now infcted by omicron even those who are already taking their boosters ? Is there any problem of our vaccinces
6289,I am unvaccinated and I got it!!! Tested positive I had syntoms fever max I had 38.7 and sore throat. I recovered from it only taking Panadol extra now I am back to normal
6290,it&#39;s not dangerous...let it run
6291,740 million europeans. Halve of them is a lot
6292,South Africa is chilling and wondering what all the fuss is about.
6293,"What, not saying its mild anymore! Can&#39;t use the wall street spin anymore because to many dying! Leaving bad taste in your mouth! Or are you feeling a little guilty finally! Hospitals still full here, 48 passed away! Stay safe, and please take it serious!"
6294,&quot;For the first time in history the ineffectiveness of a medicine is being blamed on those who refuse to take it&quot;.
6295,Pretty well protected. that sounds promising...
6296,Oh God. Where we go?
6297,Stay home and save lives completely
6298,"I like how all European countries are competing for the toughest one at implementing even stricter rules, just when the EMA itself has advised against regular boosters as they are thought to compromise the immune system. All it takes is a large group of wealthy and well informed individuals with no ties to the usual suspects and no vested interests, and class actions will pour down for years to come"
6299,Wow half of European will become pokomons. 🤣👍
6300,"DW should chill and stop creating drama, omicron infections are fast but nowhere near as strong as the previous mutations !!"
6301,In Afghanistan Thousand and hundreds of infants and children&#39;s are infected known sick someone couldn&#39;t explain  we need help
6302,So is this mean we should get ready to lose more loved ones?? Because the WHO doesn&#39;t know anything???
6303,OMacron varient is spreading in France.
6304,I think Optimus Prime should just show up at this time.
6305,For free? They are so lucky.
6306,Omicron is more bullish than Bitcoin.
6307,"You guys are better than Bangladeshi doctors, respect for you, <br>Bangladeshi doctors don’t see patient without money, they are very very greedy and selfish, they don&#39;t even have proper medical degree."
6308,They do what they can.  Not even doctors can´t stop the spreading of this disease.   That ´s the way things are.
6309,good.. then we can get over this ridiculous head cold.. and get on with our lives.
6310,How many where vaxed?
6311,Good 👌
6312,If we vaccinate the whole world there will still be some mutations in breakthrough cases and animals
6313,So many vaccinations yet so many cases. Why.
6314,Why only half the populattion and not everyone ?
6315,This world are getting more and more crazy!
6316,"Don&#39;t worry about Omicron, IHU is coming to get ya!! 😷"
6317,"Countries with high levels of early vaccination plus boosters probably have lesser amounts of natural immunity in their populations. They would have had fewer infections and thus lesser amounts of natural immunity following all the vaccinations. It&#39;s natural immunity that protects against Omicron so such countries may be harder hit with a huge volume of cases. Australia, in particular, worries me in this regard. Of course they also talk funny. <br><br>Countries with lower levels of vaccination probably have greater amounts of embedded natural immunity and these might fare relatively better. South Africa might be a good example of this. I want to say India, too. However, the population of India is so huge that any numbers coming out of India must also be huge; even if proportionally less huge, this fact will be difficult to see behind all the media exaggeration. <br><br>Of course Omicron is not nearly as severe as prior variants but even so, Omicron is so transmissible that every country, regardless of (guesses as to) amounts of natural immunity, should be expecting and should be making preparations in expectation of issues relating to sudden very large volumes of Omicron cases."
6318,"Let&#39;s hope it&#39;s much more than half, so that this EXTREMELY MILD variant can SAFELY spread PROPER immunity and bring this pandemic to an end."
6319,"Half of the first class earthlings, the only ones that matter"
6320,In germany we call it &quot;lügenpresse&quot;
6321,Take your boosters before we all die!
6322,so tragedy it is tsunami hot spot whole europe
6323,"I had omicron. It&#39;s very mild. You&#39;ll have a headache, a bit of a sore throat and feel tired. No problem."
6324,"only news channels care about Omicron, people don&#39;t about it anymore"
6325,"It isn&#39;t.  We are all in house every house in Germany ,  not in hospital."
6326,Why? The wax clearly doesn’t work!!
6327,"All I am saying is if I get 3 polio shots in 1 year and I still get polio, I&#39;d start asking questions."
6328,Wished that WHO stopped spreading this kind of nonsense. From all the people tested they can never tell if they have delta or any other variant. Then where are they getting this new alarm and panic news from that Omicron is spreading on such tempo ??
6329,I got it .( no jab on me ).very mild symptoms <br>my girlfriend who has 3 shots already got it and got very sick..<br>Actually she is still in bed right now
6330,How is Sweden doing?
6331,"Johnson&#39;s mantra seems to be &quot;Rules for thee, and none for me&quot;."
6332,"He told everyone they couldnt be with their family, then went laughing and drinking as they died alone....then he did it again because he really doesnt care."
6333,"So, not only does he disobeyed he&#39;s own rules as he is also a cheapskate... Bring you own Bottle? Come on Boris, can&#39;t you afford to offer the drinks?"
6334,There will be penalities for who break rules : Borris come to my home lets party 😂😂😂😂
6335,"Excellent vid.<br>If our Prime Minister doesn&#39;t resign today, UK will be a lost cause, totally"
6336,Boris has always  had different rules for himself and has no idea <br>what truth is
6337,"Lifelong Tory voter! Both my partner and I are now voting Liberal! Enough sleaze! This is turning int Nigerian politics! Before the rot sets in, get rid of the ‘merchant banker’! Else the whole party will be sacrificed for one person’s inability lead, and the rest of the party not having ba**s to stand up to him! My mum passed away 11 months ago, she wasn’t allowed visits till she died! My blood boils at this government!"
6338,He&#39;s a laughingstock of the country
6339,"One rule for thee, another for me..."
6340,He is a party animal....you got to love him......
6341,"As a measure against the Infection, this crowded parliament is much more dangerous than the outdoor party."
6342,Fínland PM: First time?
6343,The fact the police are not investigating just demonstrates the police new about it. As they let the people in. <br><br>It also shows how the British police don&#39;t enforce the law equality 😉
6344,BOJO is a walking talking meme 😆
6345,"It isn&#39;t that he defied COVID lockdowns. I personally never followed ANY COVID lockdowns ever, and I never will. The problem is that he imposed - nay, FORCED - these ridiculous and unfounded and unjust laws upon the people and even had those who refused to comply arrested, while he didn&#39;t follow his own crappy rules. That&#39;s the problem. I am proud of an average citizens who refuses to follow the lockdown rules."
6346,Johnson is so damaged now that he is a liability to his own party; he has to go whether he is innocent or not.
6347,Would they have done the same if it was a real pandemic?😉
6348,Government Ministers are Previlleged to Do So. Common People suffer like Duffer.
6349,boris: think of your loved ones! do not linger inside or in parties bigger than 5!<br>also boris: party at n10 for 100 lmfao
6350,Let this Man be please 🙂🤠
6351,"Boris Johnson&#39;s leaving party, everybody welcome BYOB."
6352,But He wont be removed because he is main person who supported brexit which made people suffer now 🤐
6353,"I am indeed grateful to the Managing Director of the IMF Mrs. kristalina Georgieva,for the $100,000 Grant they gave to me and my family.May God continue to bless the IMF and World Bank,As they Empower Citizens of countries Affected by the Covid_19 pandemic,though their SME Loan and Grant Initiative"
6354,"Why would the government send the email to 100 people, one of them would eventually spill it"
6355,They partied while the plebs got fined and harassed for not wearing masks.  It&#39;s not surprising at all.
6356,I won&#39;t be surprised if he loses the next election
6357,He&#39;s done.
6358,“ Great labels from MEDIA “
6359,It&#39;s obscene. But Western politicians are obscene.
6360,If truths be open. I bet even over here in America with the government leaders here they are doing the same thing..
6361,i remember when British media critizice italian managament of the pandemic.... XD
6362,"Cmon 😂 look at him, he is a clown, not a leader 😡 On the other hand, for God’s sake, our former president told people to drink bleach, organized political coup, people died!  He suffered no consequences whatsoever, ZERO! 🤯 Looks like yours is not that bad (in comparison 🧐)."
6363,"Im suprised that lots of India in the Torries. Btw, BoJo is the worst PM but with brexit starting to kick on, he should stay so he cant evade responsibility.<br><br>Btw, one thing i dont understand with this &quot;rule&quot;: you arent allowed to hold a party but at same time football stadiums were packed with spectators. So wheres the logic in this??"
6364,"So what if they sack him?<br>He feels he&#39;s got the job done just becoming Priminister. <br>Main goal acheived in life.<br>Now its down to the pub<br>Baby , the lads.<br>Oh yes the wife."
6365,"He&#39;s not the only one. Even the president, govt officials and military in May 2020. While we were all locked down."
6366,"Matt Hancock worked for the Bank of England as an economist, our current Health Secretary &quot;Sajid javids&quot; was Managing Director of a Deusche Bank, Boris Johnson was actually born in the USA and his family work within News, Media and politics... Our NHS is in the process of becoming privatised due to interest from wealthy business owners just like our Royal Mail during the reign of David Cameron, it&#39;s time for change or our children will face the consequences from our lack of action."
6367,meanwhile people were getting fined for doing the same 😂😂. I do have better things to do than humour corrupt politicians inner power struggles!
6368,Once a cheater always a cheater... there&#39;s no remedy to cure BJ lies.
6369,Are people really surprised?
6370,Why are you so  shocked? Didn&#39;t you  know Boris?
6371,If they were in WA they wouldn’t be allowed to dance
6372,"<a href=""https://www.youtube.com/watch?v=1rpFq-YFbos&amp;t=1m32s"">1:32</a> Of course. You need a cigar to call it work meeting."
6373,he is so clever................birish you are so great....he is a clever and honest person....
6374,Have you seen the queue of Tory nutters waiting in line for the throne?
6375,There will be penalties??? Really?
6376,Sorry I can&#39;t talk about what I did as it&#39;s under investigation?? Will the investigation prove he wasn&#39;t implicated or just kick the question down the road while praying for public sentiment to cool?
6377,Pretty sure there&#39;s sth going on behind the scene and someone in tories want him gone<br>Otherwise why leak now instead of during the lock down<br>Interesting to see what happens next
6378,Why people are so mean?? Boris Johnson just wanted to Have  some fun..let him
6379,"<b>When it comes to the world of investing,most people don&#39;t know where to start.fortunately,great investors of the past and present can provide us with guidance</b>"
6380,Welcome to my garden party.
6381,Bring Your Own Boy party.
6382,"Yeah, they were isolating together with Boris Scumson because they all had both the &quot;Boozicron &amp; Snackicron&quot; Variant"
6383,"It’s Bojo, ofcourse he won’t resign."
6384,"The Pom&#39;s are famous for wine ,, Hang on I mean WHINING"
6385,parties over
6386,SO WHAT!!! THIS WORLD HAS GOTTEN SO BRAINWASHED!! PEOPLE  CANT GATHER ITS A CRIMINAL  OFFENSE!!! SO SICK OF YOU SHEEPLE!!
6387,"I am remembering now,  System of the Down&#39;s song ,,BYOB&quot; ( Bring your own bomb) very actually news."
6388,"Boris won&#39;t be going nowhere, bet you"
6389,Thumb gave me SOAD flashbacks
6390,Liked what the french nicknamed him ...knuckled head...he he he
6391,US: Let&#39;s go Brandon!<br>UK: Let&#39;s go Bojo!
6392,Not good.
6393,Bugger You Off Boris
6394,"No body in the UK really gives a hoot about their parties, however the UK, and now European MSM, seems to hate him... Probably because he never locked us down over Christmas...<br>Well done Boris"
6395,Clown
6396,"Peppa was not invited to the Doris Boris party. Peppa is sad, very sad."
6397,BACK BRILLIANT THERESA MAY EVER! OUT MARXISM IN UK. EVER! By JD
6398,Covid 19 = Certification of vaccination identification 19: a =1 I =9
6399,Apparently he is related to Ursula von der lyon. Head of the European union.  The guy looks like Jim carrey&#39;s friend in dumb and dumber.
6400,"“But the third-shot myocarditis data looks bad. It suggests a dose-dependent response. And the rise in all-cause deaths across Europe in the last few months cannot be ignored, even if the health authorities are ignoring it.”-1/11/22"
6401,well if Boris leaves Keir stammer ruin things even more
6402,john 16:11-16
6403,&quot;For the first time in history the ineffectiveness of a medicine is being blamed on those who refuse to take it.&quot;
6404,Get ur boosters an diethst is the plan
6405,Honestly this? this is why? Keep them in there the people of the United Kingdom deserve him
6406,byob bojo
6407,Garden party sounds save. Boris likes to enjoy life  - stop bickering and enjoy yours. Look at all the Karen&#39;s
6408,Boris did nothing wrong
6409,"<b>When it comes to the world of investing,most people don&#39;t know where to start.fortunately,great investors of the past and present can provide us with guidance</b>"
